domain,CDN,IP
www.baidu.com,No,"['180.101.49.11', '180.101.49.12']"
m.baidu.com,No,"['180.101.49.20', '180.101.49.19']"
bbs.baidu.com,No,['180.97.104.167']
wap.baidu.com,No,"['180.101.49.20', '180.101.49.19']"
email.baidu.com,No,['220.181.3.87']
vpn.baidu.com,No,['220.181.50.247']
ns1.baidu.com,No,['202.108.22.220']
ns2.baidu.com,No,['220.181.33.31']
www2.baidu.com,No,['180.149.144.64']
mobile.baidu.com,No,['180.101.49.180']
news.baidu.com,No,"['180.101.49.131', '180.97.33.136']"
img.baidu.com,No,['180.101.212.39']
support.baidu.com,No,['180.97.104.203']
video.baidu.com,No,"['220.181.33.93', '106.120.159.70']"
app.baidu.com,No,['180.101.49.180']
e.baidu.com,Yes,['114.80.30.35']
api.baidu.com,No,['180.149.144.59']
dns.baidu.com,No,['202.108.22.220']
info.baidu.com,No,['180.97.104.89']
ns3.baidu.com,No,['112.80.248.64']
pop.baidu.com,No,['10.99.145.36']
home.baidu.com,No,['180.101.49.156']
edu.baidu.com,No,"['220.181.107.249', '220.181.107.248']"
ns4.baidu.com,No,['14.215.178.80']
b2b.baidu.com,No,"['180.101.212.101', '180.101.49.148']"
service.baidu.com,No,"['112.80.255.39', '180.97.33.42', '117.185.16.213', '180.149.144.166', '112.34.111.18', '202.106.2.78', '117.185.16.230', '112.34.111.183', '112.80.255.43', '180.149.144.165', '202.106.2.77']"
help.baidu.com,No,"['112.34.111.183', '180.149.144.165', '117.185.16.230', '180.97.33.42', '202.106.2.78', '202.106.2.77', '112.80.255.39', '112.34.111.18', '112.80.255.43', '117.185.16.213', '180.149.144.166']"
vip.baidu.com,No,"['180.97.34.226', '220.181.7.254']"
health.baidu.com,No,"['220.181.107.248', '220.181.107.249']"
v.baidu.com,No,"['106.120.159.70', '220.181.33.93']"
i.baidu.com,No,['106.120.159.19']
a.baidu.com,No,['220.181.44.96']
im.baidu.com,No,"['106.120.159.182', '220.181.107.148', '14.215.177.34']"
3g.baidu.com,No,"['180.101.49.20', '180.101.49.19']"
image.baidu.com,No,['180.97.33.134']
mail.baidu.com,No,['220.181.3.87']
autodiscover.baidu.com,No,['220.181.3.87']
cdn.baidu.com,Yes,['10.169.43.10']
mx.baidu.com,No,['61.135.163.61']
admin.baidu.com,No,['10.26.109.19']
cloud.baidu.com,No,['180.97.33.106']
cp.baidu.com,No,"['14.215.177.123', '220.181.33.175']"
u.baidu.com,No,['180.149.144.64']
update.baidu.com,No,['180.97.104.132']
as.baidu.com,No,['180.101.49.180']
ir.baidu.com,No,['104.124.250.169']
music.baidu.com,No,['180.76.141.217']
wwww.baidu.com,No,"['220.181.38.148', '220.181.38.251']"
open.baidu.com,No,"['220.181.107.248', '220.181.107.249']"
map.baidu.com,No,"['180.97.34.157', '180.97.33.128']"
share.baidu.com,No,['180.101.212.103']
in.baidu.com,No,['180.101.49.180']
gh.baidu.com,No,['106.120.159.94']
reports.baidu.com,No,['14.215.177.63']
cache.baidu.com,No,"['180.97.34.25', '180.97.34.26']"
mx1.baidu.com,No,"['61.135.165.120', '220.181.50.185']"
site.baidu.com,No,['180.97.36.72']
p.baidu.com,No,"['220.181.107.200', '220.181.107.199']"
0.baidu.com,No,['180.149.144.203']
tuan.baidu.com,No,['61.135.162.145']
g.baidu.com,No,"['180.76.187.73', '106.12.147.225', '180.76.58.249', '180.76.174.103', '180.76.121.198']"
union.baidu.com,No,['106.120.159.107']
maps.baidu.com,No,"['180.97.33.128', '180.97.34.157']"
pos.baidu.com,No,['180.97.33.96']
adm.baidu.com,No,['106.120.159.105']
developer.baidu.com,No,['180.97.33.78']
cas.baidu.com,No,['180.149.144.64']
ks.baidu.com,No,"['111.13.108.103', '118.26.21.72']"
space.baidu.com,No,"['220.181.107.148', '14.215.177.34', '106.120.159.182']"
hotel.baidu.com,No,['180.101.49.106']
top.baidu.com,No,"['180.101.49.12', '180.101.49.11']"
edm.baidu.com,No,['180.97.33.78']
campus.baidu.com,No,['180.76.155.81']
fm.baidu.com,No,"['180.76.141.217', '180.76.183.17']"
